,surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,extremity_temperature,peripheral_pulse,mucous_membranes,capillary_refill_time,pain_level,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,surgical_lesion,lesion_site,lesion_type,lesion_subtype,cp_data
109,Surgery,Young,5297379,38.4,84,40,3,Reduced,Bright pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,None,None,2.0,Absent,Distended large intestine,36.0,6.6,Cloudy,2.8,Died,Yes,2205,0,0,Pathology data present
110,Surgery,Adult horse,527544,38.0,70,16,3,Absent,Bright red / injected,>= 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,60.0,7.5,Cloudy,2.0,Died,Yes,2112,0,0,No pathology data
111,Surgery,Adult horse,533736,38.3,40,16,3,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,38.0,58.0,Clear,2.0,Lived,Yes,3111,7111,0,No pathology data
112,Surgery,Adult horse,534963,38.0,40,20,2,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,None,None,2.0,Absent,Distended large intestine,39.0,56.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
113,Surgery,Adult horse,527933,36.8,60,28,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,10.0,Died,Yes,3205,0,0,Pathology data present
114,Surgery,Adult horse,532349,38.4,44,24,3,Normal,Pale cyanotic,< 3 seconds,Continuous severe pain,Absent,Moderate,Slight,None,2.0,Absent,Distended large intestine,50.0,77.0,Cloudy,2.0,Lived,Yes,3205,0,0,No pathology data
115,No surgery,Adult horse,533723,38.0,48,40,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,45.0,70.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
116,Surgery,Adult horse,535208,38.0,44,12,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Absent,Distended large intestine,42.0,65.0,Cloudy,2.0,Lived,Yes,3205,3111,0,No pathology data
117,No surgery,Adult horse,5290482,39.5,48,20,3,Reduced,Pale cyanotic,>= 3 seconds,Intermittent mild pain,Absent,Moderate,Slight,< 1 liter,5.5,Absent,Distended large intestine,40.0,6.7,Clear,2.0,Was euthanized,Yes,4205,0,0,No pathology data
118,Surgery,Adult horse,533983,36.5,78,30,1,Normal,Normal pink,< 3 seconds,Continuous severe pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,34.0,75.0,Cloudy,1.0,Lived,Yes,3112,6112,0,No pathology data
119,No surgery,Adult horse,535166,38.1,56,20,2,Normal,Bright pink,< 3 seconds,"Alert, no pain",Hypomotile,None,None,None,2.0,Absent,Distended large intestine,46.0,70.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
120,Surgery,Adult horse,528682,39.4,54,66,1,Normal,Bright pink,< 3 seconds,Depressed,Hypomotile,Slight,None,None,2.0,Decreased,Distended small intestine,39.0,6.0,Cloudy,2.0,Lived,Yes,2206,0,0,Pathology data present
121,Surgery,Adult horse,534556,38.3,80,40,3,Normal,Dark cyanotic,>= 3 seconds,Intermittent severe pain,Hypomotile,None,Slight,> 1 liter,2.0,Normal,Distended small intestine,67.0,10.2,Cloudy,1.0,Was euthanized,Yes,2208,0,0,No pathology data
122,No surgery,Adult horse,534579,38.7,40,28,2,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,39.0,62.0,Clear,1.0,Lived,No,0,0,0,No pathology data
123,Surgery,Adult horse,530360,38.2,64,24,1,Normal,Pale pink,< 3 seconds,Intermittent severe pain,Absent,Moderate,Slight,None,2.0,Absent,Distended small intestine,45.0,7.5,Clear,2.0,Died,Yes,3205,0,0,Pathology data present
124,No surgery,Adult horse,529840,37.6,48,20,3,Normal,Pale cyanotic,< 3 seconds,"Alert, no pain",Hypermotile,Moderate,Slight,None,2.0,Normal,Normal,37.0,5.5,Cloudy,2.0,Was euthanized,Yes,2205,0,0,No pathology data
125,Surgery,Adult horse,528461,38.0,42,68,4,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,> 1 liter,2.0,Absent,Distended small intestine,41.0,7.6,Cloudy,2.0,Lived,Yes,2205,0,0,No pathology data
126,Surgery,Adult horse,530384,38.7,48,20,3,Normal,Pale pink,< 3 seconds,Continuous severe pain,Absent,Slight,Slight,None,2.0,Absent,Distended large intestine,33.0,6.5,Cloudy,2.0,Lived,Yes,31110,0,0,No pathology data
127,Surgery,Adult horse,5262541,37.4,50,32,3,Reduced,Normal pink,< 3 seconds,Intermittent severe pain,Absent,None,Slight,None,2.0,Normal,Distended large intestine,45.0,7.9,Cloudy,1.0,Lived,Yes,2208,0,0,Pathology data present
128,Surgery,Adult horse,535330,37.4,84,20,3,Normal,Pale pink,< 3 seconds,Depressed,Hypomotile,Moderate,Slight,None,2.0,Absent,Distended large intestine,31.0,61.0,Cloudy,1.0,Was euthanized,No,2208,0,0,No pathology data
129,Surgery,Adult horse,527698,38.4,49,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,44.0,7.6,Cloudy,2.0,Lived,Yes,2206,0,0,No pathology data
130,Surgery,Adult horse,528964,37.8,30,12,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Died,Yes,2113,0,0,No pathology data
131,No surgery,Adult horse,530670,37.6,88,36,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,< 1 liter,1.5,Absent,Distended large intestine,44.0,6.0,Cloudy,2.0,Died,Yes,1400,0,0,No pathology data
132,Surgery,Adult horse,534572,38.0,48,20,3,Normal,Pale pink,< 3 seconds,Intermittent severe pain,Hypomotile,None,Slight,None,2.0,Decreased,Distended large intestine,43.0,73.0,Cloudy,1.0,Lived,Yes,3111,0,0,No pathology data
133,No surgery,Adult horse,530294,37.9,40,24,1,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Absent,Firm feces in the large intestine,40.0,5.7,Cloudy,2.0,Lived,Yes,400,0,0,No pathology data
134,Surgery,Adult horse,527524,38.0,100,20,3,Normal,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,None,Slight,None,2.0,Increased,Distended large intestine,59.0,6.3,Cloudy,2.0,Died,Yes,4205,0,0,No pathology data
135,Surgery,Young,5287179,38.1,136,48,3,Reduced,Pale pink,< 3 seconds,Continuous severe pain,Hypermotile,Moderate,Slight,> 1 liter,4.4,Increased,Distended large intestine,33.0,4.9,Cloudy,2.9,Died,Yes,2205,0,0,Pathology data present
136,Surgery,Adult horse,530693,38.0,48,20,3,Reduced,Pale pink,>= 3 seconds,Continuous severe pain,Hypomotile,Moderate,Significant,> 1 liter,2.0,Absent,Distended large intestine,46.0,5.9,Cloudy,2.0,Died,Yes,3025,0,0,No pathology data
137,Surgery,Adult horse,534324,38.0,48,20,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Normal,Severe,Slight,> 1 liter,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
138,No surgery,Adult horse,532349,38.0,56,20,1,Increased,Pale pink,< 3 seconds,"Alert, no pain",Hypermotile,None,None,None,2.0,Normal,Normal,42.0,71.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
139,No surgery,Adult horse,534491,38.0,60,32,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,None,2.0,Absent,Distended large intestine,50.0,7.0,Clear,1.0,Lived,No,0,0,0,No pathology data
140,Surgery,Adult horse,529960,38.1,44,9,3,Normal,Normal pink,< 3 seconds,Depressed,Normal,None,None,None,2.0,Absent,Distended large intestine,31.0,7.3,Cloudy,2.0,Lived,No,5124,0,0,No pathology data
141,No surgery,Adult horse,522979,36.0,42,30,3,Normal,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,64.0,6.8,Cloudy,2.0,Died,No,1400,0,0,No pathology data
142,Surgery,Adult horse,530402,38.0,120,20,4,Reduced,Dark cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,57.0,4.5,Serosanguinous,3.9,Died,Yes,3205,0,0,Pathology data present
143,Surgery,Adult horse,529424,37.8,48,28,1,Normal,Normal pink,>= 3 seconds,"Alert, no pain",Normal,None,Slight,None,2.0,Normal,Normal,46.0,5.9,Cloudy,7.0,Lived,No,0,0,0,Pathology data present
144,Surgery,Adult horse,534519,37.1,84,40,3,Reduced,Dark cyanotic,< 3 seconds,Depressed,Absent,Severe,Significant,> 1 liter,2.0,Absent,Distended large intestine,75.0,81.0,Cloudy,2.0,Was euthanized,No,1400,0,0,No pathology data
145,No surgery,Adult horse,535246,38.0,80,32,3,Reduced,Bright pink,< 3 seconds,Depressed,Hypomotile,Moderate,Slight,None,2.0,Decreased,Distended large intestine,50.0,80.0,Cloudy,2.0,Lived,Yes,0,0,0,No pathology data
146,Surgery,Adult horse,534115,38.2,48,20,1,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Absent,Severe,None,< 1 liter,2.0,Absent,Distended large intestine,42.0,71.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
147,No surgery,Adult horse,530001,38.0,44,12,2,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Absent,Moderate,None,> 1 liter,6.5,Normal,Distended small intestine,33.0,6.5,Cloudy,2.0,Died,Yes,2209,0,0,No pathology data
148,Surgery,Adult horse,529272,38.3,132,20,3,Reduced,Dark cyanotic,>= 3 seconds,Depressed,Absent,Slight,Slight,< 1 liter,6.2,Absent,Distended small intestine,57.0,8.0,Cloudy,5.2,Lived,Yes,2112,0,0,Pathology data present
149,No surgery,Adult horse,535314,38.7,48,24,3,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,None,None,2.0,Normal,Distended large intestine,34.0,63.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
150,No surgery,Adult horse,533793,38.9,44,14,3,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Absent,Other,33.0,64.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
151,Surgery,Adult horse,529399,39.3,48,20,4,Reduced,Dark cyanotic,>= 3 seconds,Intermittent severe pain,Absent,Slight,None,< 1 liter,4.0,Absent,Distended small intestine,75.0,6.5,Serosanguinous,4.3,Died,Yes,2207,0,0,Pathology data present
152,Surgery,Adult horse,533836,38.0,100,20,3,Reduced,Pale cyanotic,>= 3 seconds,Intermittent mild pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,68.0,64.0,Serosanguinous,2.0,Lived,Yes,2209,0,0,No pathology data
153,No surgery,Adult horse,528804,38.6,48,20,3,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Slight,None,2.0,Decreased,Other,50.0,7.3,Clear,2.0,Lived,No,3111,0,0,Pathology data present
154,No surgery,Adult horse,535163,38.8,48,40,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,41.0,65.0,Cloudy,2.0,Lived,Yes,4124,0,0,No pathology data
155,No surgery,Adult horse,528247,38.0,48,20,3,Reduced,Pale cyanotic,< 3 seconds,"Alert, no pain",Absent,Slight,Slight,None,5.0,Absent,Other,49.0,8.3,Clear,2.0,Lived,No,400,0,0,Pathology data present
156,No surgery,Adult horse,528996,38.6,52,20,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,None,2.0,Normal,Firm feces in the large intestine,36.0,6.6,Clear,5.0,Lived,No,0,0,0,Pathology data present
157,Surgery,Adult horse,533928,37.8,60,24,1,Normal,Pale pink,>= 3 seconds,Intermittent mild pain,Absent,Severe,Slight,< 1 liter,2.0,Absent,Distended large intestine,52.0,75.0,Cloudy,2.0,Was euthanized,Yes,2205,0,0,No pathology data
158,No surgery,Adult horse,528248,38.0,42,40,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
159,No surgery,Adult horse,528134,38.0,48,12,1,Normal,Bright pink,< 3 seconds,Depressed,Hypermotile,Slight,Significant,None,2.0,Normal,Firm feces in the large intestine,44.0,7.5,Cloudy,2.0,Lived,No,0,0,0,Pathology data present
160,Surgery,Adult horse,527916,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent severe pain,Hypomotile,None,None,None,2.0,Absent,Distended large intestine,35.0,58.0,Cloudy,1.0,Lived,Yes,4205,0,0,No pathology data
161,Surgery,Adult horse,530431,38.3,42,24,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,8.5,Cloudy,2.0,Died,Yes,7113,0,0,No pathology data
162,No surgery,Adult horse,535176,39.5,60,10,3,Normal,Normal pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Decreased,Distended large intestine,38.0,56.0,Clear,2.0,Lived,No,0,0,0,No pathology data
163,Surgery,Adult horse,533942,38.0,66,20,1,Reduced,Pale pink,< 3 seconds,Continuous severe pain,Hypomotile,None,None,None,2.0,Decreased,Distended large intestine,46.0,46.0,Serosanguinous,2.0,Was euthanized,Yes,6209,0,0,No pathology data
164,Surgery,Adult horse,528523,38.7,76,20,1,Normal,Bright red / injected,>= 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,> 1 liter,2.0,Absent,Distended small intestine,50.0,8.0,Cloudy,2.0,Lived,Yes,2208,0,0,Pathology data present
165,Surgery,Adult horse,534925,39.4,120,48,3,Normal,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,None,None,2.0,Absent,Distended large intestine,56.0,64.0,Clear,2.0,Was euthanized,No,1400,0,0,No pathology data
166,Surgery,Adult horse,527916,38.3,40,18,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Increased,Normal,43.0,5.9,Clear,2.0,Lived,No,0,0,0,Pathology data present
167,No surgery,Adult horse,528299,38.0,44,24,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Normal,40.0,6.3,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
168,Surgery,Adult horse,530254,38.4,104,40,1,Normal,Pale pink,< 3 seconds,Depressed,Absent,Slight,Slight,< 1 liter,6.5,Absent,Distended small intestine,55.0,8.5,Cloudy,2.0,Lived,Yes,2124,0,0,No pathology data
169,Surgery,Adult horse,535085,38.0,65,24,3,Normal,Normal pink,>= 3 seconds,Continuous severe pain,Hypomotile,Severe,Significant,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
170,No surgery,Adult horse,532985,37.5,44,20,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,35.0,7.2,Cloudy,2.0,Lived,No,0,0,0,No pathology data
171,No surgery,Adult horse,527677,39.0,86,16,3,Reduced,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,> 1 liter,2.0,Absent,Distended large intestine,68.0,5.8,Serosanguinous,6.0,Died,Yes,5400,0,0,Pathology data present
172,Surgery,Adult horse,535292,38.5,129,48,3,Reduced,Pale pink,< 3 seconds,Depressed,Absent,Moderate,None,< 1 liter,2.0,Absent,Distended large intestine,57.0,66.0,Serosanguinous,2.0,Lived,Yes,2206,0,0,No pathology data
173,Surgery,Adult horse,529729,38.0,104,20,3,Reduced,Bright red / injected,>= 3 seconds,Depressed,Absent,Moderate,Slight,< 1 liter,2.0,Absent,Distended small intestine,69.0,8.6,Cloudy,3.4,Died,Yes,2207,0,0,Pathology data present
174,No surgery,Adult horse,518476,38.0,48,20,3,Absent,Dark cyanotic,< 3 seconds,Intermittent severe pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Died,Yes,3400,0,0,Pathology data present
175,Surgery,Adult horse,527929,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,Yes,2208,0,0,No pathology data
176,Surgery,Adult horse,535130,38.2,60,30,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Decreased,Other,48.0,66.0,Cloudy,2.0,Lived,Yes,6112,0,0,No pathology data
177,Surgery,Adult horse,523190,38.0,68,14,3,Normal,Pale cyanotic,< 3 seconds,Intermittent severe pain,Hypomotile,None,Slight,None,4.3,Absent,Distended large intestine,40.0,6.5,Cloudy,2.8,Died,Yes,4205,0,0,Pathology data present
178,Surgery,Adult horse,533968,38.0,60,30,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,None,None,2.0,Absent,Distended large intestine,45.0,70.0,Serosanguinous,2.0,Lived,Yes,6111,3111,0,No pathology data
179,No surgery,Adult horse,528151,38.5,100,20,3,Reduced,Bright red / injected,>= 3 seconds,Intermittent severe pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,No,1111,0,0,Pathology data present
180,Surgery,Adult horse,530239,38.4,84,30,3,Normal,Bright red / injected,>= 3 seconds,Intermittent severe pain,Hypomotile,Moderate,Slight,< 1 liter,6.5,Absent,Distended small intestine,47.0,7.5,Serosanguinous,2.0,Died,Yes,2300,0,0,No pathology data
181,No surgery,Adult horse,528305,37.8,48,14,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,< 1 liter,5.3,Normal,Distended large intestine,35.0,7.5,Cloudy,2.0,Lived,No,3111,0,0,Pathology data present
182,Surgery,Adult horse,5279822,38.0,48,24,3,Reduced,Dark cyanotic,>= 3 seconds,Continuous severe pain,Hypomotile,Severe,None,None,2.0,Absent,Distended large intestine,68.0,7.8,Cloudy,2.0,Died,Yes,2205,0,0,No pathology data
183,No surgery,Adult horse,534857,37.8,56,16,1,Normal,Bright pink,< 3 seconds,Depressed,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,44.0,68.0,Clear,1.0,Lived,No,0,0,0,No pathology data
184,No surgery,Adult horse,534053,38.2,68,32,2,Increased,Bright pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Significant,None,2.0,Normal,Normal,43.0,65.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
185,Surgery,Adult horse,534833,38.5,120,60,4,Reduced,Dark cyanotic,>= 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,54.0,6.5,Cloudy,2.0,Lived,Yes,5400,0,0,No pathology data
186,Surgery,Adult horse,5278331,39.3,64,90,2,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,> 1 liter,2.0,Absent,Distended large intestine,39.0,6.7,Cloudy,2.0,Lived,Yes,21110,0,0,No pathology data
187,Surgery,Adult horse,527365,38.4,80,30,4,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Significant,< 1 liter,2.0,Absent,Distended large intestine,32.0,6.1,Serosanguinous,4.3,Lived,Yes,7209,0,0,Pathology data present
188,Surgery,Adult horse,533887,38.5,60,20,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Absent,Distended large intestine,33.0,53.0,Clear,2.0,Lived,Yes,4111,0,0,No pathology data
189,Surgery,Adult horse,5299603,38.3,60,16,3,Normal,Normal pink,< 3 seconds,Depressed,Hypermotile,None,Slight,> 1 liter,3.0,Normal,Distended small intestine,30.0,6.0,Clear,3.0,Lived,Yes,31110,0,0,No pathology data
190,Surgery,Adult horse,528742,37.1,40,8,3,Normal,Pale cyanotic,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,None,2.0,Decreased,Firm feces in the large intestine,23.0,6.7,Serosanguinous,2.0,Lived,Yes,3133,0,0,Pathology data present
191,No surgery,Young,5287279,38.0,100,44,2,Normal,Normal pink,< 3 seconds,Intermittent severe pain,Hypermotile,None,Slight,None,2.0,Normal,Distended large intestine,37.0,4.7,Cloudy,2.0,Lived,No,7111,0,0,No pathology data
192,Surgery,Adult horse,534788,38.2,48,18,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,None,> 1 liter,2.0,Absent,Distended large intestine,48.0,74.0,Clear,2.0,Lived,Yes,5111,0,0,No pathology data
193,Surgery,Adult horse,529373,38.0,60,48,3,Reduced,Pale cyanotic,>= 3 seconds,Intermittent severe pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,58.0,7.6,Cloudy,2.0,Died,Yes,3205,0,0,No pathology data
194,No surgery,Adult horse,534163,37.9,88,24,1,Normal,Bright pink,< 3 seconds,Depressed,Normal,None,Slight,None,2.0,Absent,Normal,37.0,56.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
195,No surgery,Adult horse,533697,38.0,44,12,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,Slight,Slight,None,2.0,Normal,Distended large intestine,42.0,64.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
196,No surgery,Adult horse,529628,38.5,60,20,1,Normal,Bright red / injected,>= 3 seconds,Depressed,Normal,None,Slight,None,2.0,Increased,Firm feces in the large intestine,63.0,7.5,Cloudy,2.3,Was euthanized,No,300,0,0,Pathology data present
197,No surgery,Adult horse,521399,38.5,96,36,3,Reduced,Normal pink,>= 3 seconds,Depressed,Absent,Slight,None,> 1 liter,2.0,Absent,Distended large intestine,70.0,8.5,Cloudy,2.0,Died,Yes,1400,0,0,Pathology data present
198,No surgery,Adult horse,533885,38.3,60,20,1,Normal,Normal pink,>= 3 seconds,"Alert, no pain",Hypomotile,None,Slight,None,2.0,Decreased,Distended large intestine,34.0,66.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
199,No surgery,Adult horse,534157,38.5,60,40,3,Normal,Bright pink,< 3 seconds,Depressed,Hypermotile,Slight,Slight,None,2.0,Decreased,Other,49.0,59.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
200,Surgery,Adult horse,528047,37.3,48,12,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypermotile,Moderate,Slight,None,2.0,Decreased,Firm feces in the large intestine,40.0,6.6,Cloudy,2.0,Lived,Yes,3205,0,0,Pathology data present
201,Surgery,Adult horse,528641,38.5,86,20,1,Normal,Pale pink,< 3 seconds,Intermittent severe pain,Absent,Moderate,Slight,None,2.0,Decreased,Distended large intestine,45.0,7.4,Clear,3.4,Died,Yes,3209,0,0,Pathology data present
202,Surgery,Adult horse,534073,37.5,48,40,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,None,2.0,Absent,Distended large intestine,41.0,55.0,Serosanguinous,2.0,Was euthanized,Yes,2208,0,0,No pathology data
203,No surgery,Adult horse,529685,37.2,36,9,1,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Absent,Normal,35.0,5.7,Cloudy,2.0,Lived,No,31110,0,0,No pathology data
204,Surgery,Adult horse,529528,39.2,48,23,3,Normal,Pale pink,< 3 seconds,Intermittent severe pain,Absent,Slight,Slight,None,2.0,Absent,Distended large intestine,36.0,6.6,Clear,3.0,Lived,Yes,3115,0,0,Pathology data present
205,No surgery,Adult horse,528151,38.5,100,20,3,Reduced,Bright red / injected,>= 3 seconds,Intermittent severe pain,Hypomotile,Severe,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,No,4124,0,0,No pathology data
206,Surgery,Adult horse,535137,38.5,96,30,2,Reduced,Pale cyanotic,>= 3 seconds,Intermittent severe pain,Absent,Moderate,Slight,None,2.0,Decreased,Distended large intestine,50.0,65.0,Cloudy,2.0,Lived,Yes,6111,3112,0,No pathology data
207,Surgery,Adult horse,530297,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,45.0,8.7,Cloudy,2.0,Died,Yes,2208,0,0,No pathology data
208,Surgery,Adult horse,535338,37.8,88,80,3,Reduced,Bright red / injected,>= 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,< 1 liter,2.0,Absent,Distended large intestine,64.0,89.0,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
209,No surgery,Adult horse,534478,37.5,44,10,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,Slight,Slight,None,2.0,Decreased,Firm feces in the large intestine,43.0,51.0,Clear,1.0,Lived,No,0,0,0,No pathology data
210,Surgery,Adult horse,530401,37.9,68,20,3,Normal,Bright pink,< 3 seconds,Depressed,Absent,Slight,Slight,None,2.0,Normal,Distended large intestine,45.0,4.0,Serosanguinous,2.8,Died,Yes,5400,0,0,Pathology data present
211,Surgery,Adult horse,529893,38.0,86,24,4,Reduced,Pale cyanotic,< 3 seconds,Depressed,Absent,Severe,None,None,2.0,Absent,Distended large intestine,45.0,5.5,Clear,10.1,Died,Yes,3111,0,0,Pathology data present
212,Surgery,Young,5294369,38.9,120,30,1,Reduced,Bright pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Significant,None,3.0,Absent,Distended large intestine,47.0,6.3,Clear,2.0,Lived,No,2124,0,0,No pathology data
213,Surgery,Adult horse,528183,37.6,45,12,3,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Normal,Slight,Slight,None,2.0,Normal,Distended small intestine,39.0,7.0,Cloudy,1.5,Lived,Yes,2112,0,0,Pathology data present
214,No surgery,Adult horse,529183,38.6,56,32,2,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Increased,Distended large intestine,40.0,7.0,Cloudy,2.1,Lived,No,0,0,0,Pathology data present
215,Surgery,Adult horse,529135,37.8,40,12,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Normal,None,Slight,None,2.0,Normal,Other,38.0,7.0,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
216,No surgery,Adult horse,528977,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Lived,No,0,0,0,No pathology data
217,Surgery,Adult horse,5279441,38.0,76,18,3,Normal,Normal pink,>= 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,71.0,11.0,Cloudy,2.0,Lived,Yes,2209,0,0,Pathology data present
218,Surgery,Adult horse,535240,38.1,40,36,1,Increased,Bright pink,< 3 seconds,Depressed,Normal,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,Yes,3112,0,0,No pathology data
